pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
60.452,-99.568,0.0,top,R15,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,470,smt
60.452,-103.166333,0.0,top,R16,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,470,smt
67.564,-135.636,0.0,bottom,R17,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2.2K,smt
67.564,-138.049,0.0,bottom,R18,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,4.7K,smt
64.897,-116.205,0.0,top,R19,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,470,smt
80.671,-85.942,0.0,top,R2,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10K,smt
94.243,-98.62,90.0,top,R20,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,470,smt
94.243,-115.765,90.0,top,R21,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,470,smt
107.061,-115.765,-90.0,top,R22,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2.2K,smt
107.061,-98.62,90.0,top,R23,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2.2K,smt
94.243,-132.91,90.0,top,R24,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,470,smt
107.061,-132.91,-90.0,top,R25,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2.2K,smt
96.266,-85.598,90.0,top,R26,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,220,smt
86.487,-73.787,90.0,bottom,R3,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2K,smt
86.36,-86.995,-90.0,bottom,R4,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,2K,smt
60.452,-110.363,180.0,top,R5,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1K,smt
60.5907,-95.8088,180.0,top,R6,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1K,smt
